제목,평점,스토리작가,그림작가,업데이트 년도,형식,장르,이용가,요약,태그,조회순
"한여름, 밤의 꿈",9.83,김수박,KAN,2022,스토리,로맨스,전체연령가,"한서고등학교의 전설, 큐피트의 연못! 연못 앞에서 짝사랑 이름을 외치면 꿈에서 만나 사랑에 빠진다?!타인의 꿈을 넘나들며 서로의 꿈을 이어줄 수 있는 '한여름'. 여름은 교생 실습생이 되어 자신의 모교인 한서고등학교로 향하고그곳에서 자신의 첫사랑 '하진'과 모두의 짝사랑남 '시우'를 만나게 되는데…꿈에서 시작되는 그들의 청춘 로맨스!","청춘로맨스,로맨스,완결로맨스",1253
벨과 야수의 근로계약,9.65,도넛먹는해달,우메오,2022,스토리,로맨스,전체연령가,"하룻밤에 대상단의 부상단주에서 알거지가 된 벨.어떻게든 재기의 발판을 마련해 보려는데 야수한테까지 빚을 져버린 아버지! 그런 우리에게 야수가 내건 조건이 조금 이상한데?!""빚을 청산하지 못하겠으면 내 배우자를 찾아줘.""과연 벨과 야수는 무사히 계약내용대로 배우자를 찾고 빚을 청산할 수 있을까?두 사람의 조금 이상하고 특별한 로맨스 판타지!","로맨스,완결로맨스",1254
악마에게 은총을,9.77,백지연,스튜,2020,스토리,드라마,전체연령가,"악마를 향한 순정, 결말은?","드라마,완결드라마",1255
길고양이 행진,9.95,몹시찰진우럭,몹시찰진우럭,2022,스토리,판타지,전체연령가,"아르토리아의 작은 항구도시 해골촌.해골촌에는 나이에 상관없이 싸워서 이기면 형님이 되는 특이한 룰이 있다.해골촌의 거대한 사자 ‘보나파르트’ 이야기를 시작으로 ‘완다’는 마을을 통째로 하늘에 띄운 강력한 마법사, 극장에 갇혀 일하는 노예 가수, 던전 테마파크를 차린 마계인, 재판에서 한번도 승리해 본적이 없는 변호사 등 아르토리아 사람들을 하나 둘 만나가게 되는데……..","판타지,완결판타지",1256
그 해 여름,9.94,김현,김현,2021,스토리,로맨스,15세 이용가,"사랑에 집착하는 희범.공부에만 집중하고픈 유원. 10대의 마지막 여름, 이들과 마주한 주미. 성장통을 겪는 소년 소녀들의 드라마","로맨스,완결로맨스",1257
개미잡이,9.83,이익수,이익수,2020,스토리,드라마,15세 이용가,겉과 속이 다른 삶을 살아온 악랄한 인간 고은식. 그런 악마와 함께 살고 있는 세진에게 뜻밖의 기회가 찾아온다.이들의 비밀스러운 삶을 집요하게 파고드는 형사와 고은식으로부터 어린 시절 온갖 학대를 받으며 살아온 의문의 남자가 복수를 위해 나타난다,"드라마,완결드라마",1258
낢이 사는 이야기,9.91,서나래,서나래,2020,에피소드,일상,전체연령가,"혼란의 도가니인 인생 속에서 울고, 웃고, 먹고, 마신다!십년 넘게 이어지는 소소한 낢의 사생활 이야기. 오늘도 삶은 계속됩니다.","일상,완결일상",1259
미스테리오소,9.89,송일곤,이제,2021,스토리,감성,15세 이용가,"평범한 재능을 가졌지만, 대기업의 외동딸로 바이올린을 강요당하는 '지나'천재적인 재능을 가졌지만, 가난한 운전사의 딸로 태어나 피아노를 포기한 '경미'경미의 아버지가 지나네 운전사로 일하게 되면서 둘은 만나게 되고 음악이라는 고리를 통해 둘은 가까워진다.음악과 함께한 사춘기 3년, 둘은 우정 그리고 점차 사랑을 느끼게 된다.하지만 세상이 점점 그들을 방해하는데...  과연 둘은 신비롭게 연주할 수 있을까?","감성,완결감성",1260
미스테리 게임,9.76,고경빈,고경빈,2021,스토리,스릴러,전체연령가,"인간들은 내 장난감이야. 난 인간들이 좋아.불가사의한 존재들, 그리고 그들이 보여주는 ""당신이 가장 아름답게 빛나는 순간.""","스릴러,완결스릴러",1261
인간의 자격,9.77,MU,초연,2022,스토리,드라마,15세 이용가,"같은 반 친구를 구하려다 되려 학교 폭력의 가해자로 몰린 태수.과거에 얽매여 트라우마를 극복하지 못하고, 알콜중독자가 되어 가족과 사회에 해를 끼치는 호준. 13년 전, 학교 폭력으로 얽힌 두 사람이 보호관찰관과 대상자로 다시 만났다!","드라마,완결드라마",1262
차가운 장례식,9.89,탐토,탐토,2020,스토리,판타지,전체연령가,"평범한 여고생이었던 한세영은 소꿉친구 김진서가 자살 후 산송장이 되어 되살아나는 것을 목격한다. 세영은 산송장이 된 진서와 접촉 후 '위퍼'라는 기생충에 감염되어 남다른 신체적 능력을 얻게 되고, 이를 계기로 위퍼를 제거하고자 움직이는 비밀 경찰 '생활안전국 비밀상장과'에 스카웃되는데…","판타지,완결판타지",1263
크라임 퍼즐,9.75,Meen,미상,2021,스토리,스릴러,전체연령가,"스스로 교도소에 갇힌 범죄심리학자. 아버지를 잃은 범죄분석관이 벌이는 살인사건에 관한 10번의 인터뷰, 그 속에 숨어 있는 연쇄살인의 진실.""범죄의 조각들을 꿰어 맞추면 거대한 하나의 실체가 드러나지.""","드라마&영화 원작웹툰,스릴러,완결스릴러",1264
평행우주,9.34,현용민,현용민,2022,스토리,개그,전체연령가,"체구도 작고 공부도 못 하는 17살의 '이우주'는 어느 날, 자신을 괴롭히는 ‘표영배’ 녀석들에게 쫓겨 학교 뒷산 낭떠러지에서 떨어진다.얼마 후, 정신을 차리고 일어나 보니 세상은 달라져 있었다. 바로 거꾸로 나이를 먹는 평행우주 속 지구로 떨어진 것. 졸지에 이방인이 된 우주는  과연 원래의 세계로 돌아올 수 있을까?","개그,완결개그",1265
마물전담부대,9.86,염손,염손,2021,스토리,판타지,전체연령가,"마법혁명으로 근대화를 이룬 판타지 세계.하지만 이러한 세계에서도 마물은 여전히 인류를 위협하는 요소였고,이를 위해 각 국가는 마물 퇴치를 위한 조직 <마물전담부대>를 조직한다.평범한 소시민이었던 리건은 엉겁결에 <마물전담부대>에 입대하게 되고,여기서 열심히 구르며 고생하는 리건의 이야기가 시작된다.본의 아니게 입대를 하게 되었지만 신입 부대원은 자신 한명 뿐이었고,선임들의 집중교육과 목숨이 오가는 전투 속에서 리건은 점점 강해진다.하지만 리건이 상대하는 마물 역시 만만치 않은 존재이기에리건은 눈물 겨운 사투는 계속 이어진다…!","판타지,완결판타지",1266
혼신,9.85,임리나,임리나,2021,스토리,판타지,전체연령가,원귀를 성불시키기 위해 신으로부터 선택받은 ‘사도’와 그러한 사도를 감시하며 보좌하는 ‘감시자’들,"판타지,완결판타지",1267
창공의 타이양사무소,9.96,박유나,박유나,2020,에피소드,드라마,전체연령가,고된 인생 속에도 사랑과 웃음이 있다,"드라마,완결드라마",1268
유비님께 투자하겠어,4.97,B급달궁,이유정,2020,스토리,판타지,전체연령가,"지금까지의 삼국지는 잊어라!꽃미남 영웅들과 초보 투자가의 짠내 나는 촉나라 경영 스토리!...삼국지의 유비, 관우, 장비와 20대 여성 CEO 제나의 ‘본격주식회사경영판타지코믹로맨스’를 통해 새로운 즐거움을 선사한다!!","판타지,완결판타지",1269
사주팔자,9.86,문토,혜경,2022,스토리,로맨스,전체연령가,"[한 여자를 죽여야만 살 수 있는 팔자라면, 그건 정말 저주 받은 운명 아닙니까]폭군의 사주를 가지고 태어난 이운, 모두가 기피하는 드센 팔자를 타고 태어난 민해명. 사주로 이어진 우연한 만남과 운명 같은 사랑으로 그려진 픽션 사극 로맨스.","퓨전사극,로맨스,소설원작,완결로맨스",1270
제7원,9.58,남정훈,김태헌,2021,스토리,스릴러,전체연령가,‘낯 선 감방에서 눈을 뜬 남자 4310. 그는 자신이 기억을 잃었다는 것과 아울러 이 감방엔 문이 없는 사방이 벽뿐이라는 사실을 알게 된다!’,"스릴러,완결스릴러",1271
잔인한 축제,9.78,희나리,희나리,2022,스토리,드라마,18세 이용가,"아름다운 벚꽃이 흩날리는 K시 축제의 날,그녀의 핏빛 복수가 시작된다. 나에게도 그들에게도 잔인한 하루. 하드보일드 성인극화.",,1272
냄새를 보는 소녀,9.97,만취,만취,2020,스토리,드라마,전체연령가,냄새를 눈으로 보신 적 있으신가요?,"드라마&영화 원작웹툰,드라마,완결드라마",1273
후작님을 녹이는 방법,9.93,할머,슈지첼,2022,스토리,로맨스,전체연령가,"차갑고 수상한 성에서 펼쳐지는 생존 로맨스?!귀요미와 허당 매력이 가득한 사랑 듬뿍 받고 자란 막내 아들, 백작 가문의 사생아 출신 에이드리안. 첫째 형은 사망, 둘째 형은 실종되면서 가문의 땅을 지키기 위해 어쩔 수 없이 황제파 귀족 가문과 결혼할 수밖에 없는 처지에 놓인다. 둘째 형이 돌아올 때까지만 버틸 생각으로, 당연히 거절할 거라 생각한, “얼굴을 보면 죽인다”는 악명 높은 전장의 늑대, 프레이 뷔시아 후작을 결혼 상대로 지정하는 에이드리안. 하지만 프레이 후작이 대체 무슨 생각에선지 덜컥 결혼 서명을 해버리면서 에이드리안과 프레이는 거짓말처럼 진짜 “결혼”이란 것을 하고 만다! 으악! 망했다!!! 머리 뜯는 고통의 시간도 잠시…이제 무를 수도 없이 부부인데…….근데 진짜 궁금한 게…왜 얼굴은커녕 머리카락 하나 보기 힘든 거죠? 왜 얼어 죽을 뻔한 사람을 구해줘가지고 사람 마음을 들었다 놨다 하는 거죠? 얼굴을 보면 죽인다는 소문의 주인공 프레이 뷔시아 후작. 차가워도 너무 차가운 그녀의 마음을 과연 이 허술한 에이드리안이 녹일 수 있을까?","로맨스,소설원작,완결로맨스",1274
유니버스 000,9.8,고경빈,고경빈,2021,스토리,스릴러,전체연령가,단지 지루하다는 이유로 999개의 평행우주를 창조한 미지의 존재 001.001이 안내하는 기묘한 세계들의 기묘한 이야기들.,"스릴러,완결스릴러",1275
적어주세요!,9.44,바구니,바구니,2022,스토리,로맨스,전체연령가,"펜을 이상하게 쥐는 습관 때문에 글씨 쓰기에 콤플렉스가 있던 차도희!그런 그녀의 글씨를 원하는 디자인팀 팀장 정찬열은 프로젝트에 합류하라며 그녀를 끌어당긴다.프로젝트로 만난 사이지만 하나씩 문제를 해결해나갈 때마다 도희와 찬열은 가까워지는데…두 사람은 프로젝트도, 사랑도 성공할 수 있게 될까?오늘도 도희는 진심을 전하기 위해 글씨를 쓴다.","로맨스,완결로맨스",1276
도리내리,9.79,사영,사영,2021,스토리,로맨스,전체연령가,"신선의 인간 제자 사화는 변신술을 다루는 귀(鬼)인 다루를 만난다.그와의 만남을 통해 사화는 자신을 소망을 깨닫고 진정한 인간의 삶을 살고 싶다며 스승인 백화 신선에게 간청하고,스승은 사화에게 일어날 어떤 일을 짐작하고 이를 허락한다.때마침 황궁에서 인재를 뽑는다는 방이 마을에 붙고,사화는 가온이라는 사내와 함께 섬을 벗어나 황궁으로 가는 배에 올라타는데….","로맨스,완결로맨스",1277
"소년, 남자의 이름으로",9.82,수진,수진,2021,스토리,로맨스,전체연령가,한번 사귀면 한 달 동안만 사귀어 '한달동'이라 불리는 한재동.진짜 사랑을 믿지 않던 그에게 사랑이 찾아왔다.,"로맨스,완결로맨스",1278
나랑 살래?,9.45,은희,은희,2020,스토리,로맨스,전체연령가,"만 20살의 생일날 친척 집에서 쫓겨나 거리를 걷던 중 '귀신의 집'으로 소문난 집 앞에서 잡귀들에게 쫓겨난 두 귀신을 마주하게 된 노을. '귀신의 집'을 싸게 구입해 잡귀들을 몰아내고 두 귀신과의 동거를 시작하게 된다! 3년 전 의문의 사고로 죽게 된 후 저승 버스를 타고 가던 중, 버스에서 내려 이승을 헤매게 되었다는 두 귀신은 자신들의 이름과 이승에 만나야 할 사람이 있다는 것 외에는 기억이 없고...대학을 휴학하고 아르바이트를 구하던 노을은 우연히 마주친 박수무당 만복의 제안으로 인기 신인배우 도한이 소속된 회사에서 퇴마의 일을 하게 되고, 그러던 중 마주한 도한에게 난생처음 두근거림을 느끼게 되는데...!","로맨스,완결로맨스",1279
가우스전자,9.77,곽백수,곽백수,2022,에피소드,일상,전체연령가,다국적 문어발 기업 가우스전자 마케팅3부 이야기곽백수 작가가 선보이는 본격 직장인 만화!,"드라마&영화 원작웹툰,일상,완결일상",1280
나라 구한 전생,9.87,양키풀,양키풀,2021,스토리,드라마,전체연령가,"아버지의 빚 문제로 폐공장에 납치되어 있던 한자인은 재수 좋은 남자 천운조의 등장으로 무사히 풀려나게 된다. 며칠 후, 새 학기가 시작되고 신입생 한자인은 자신의 학교에서 천운조와 그의 친구들을 만나게 된다. 자신들을 전생에 나라를 구한 영웅이라고 소개하는 천운조와 친구들, 그들의 특별한 능력을 눈으로 볼 수 있는 한자인, 그리고 한자인을 노리는 수수께끼의 인물까지. 전생을 기억하는 능력자들과 그 중심에 있는 한자인, 그들에게 과연 어떤 운명이 기다리고 있을까?","드라마,완결드라마",1281
헤어진 다음날,9.68,남지은,김인호,2021,스토리,드라마,전체연령가,"누구나 사랑을 하고, 이별을 한다. 지극히도 평범한 한 남자와 여자의 연애와 사랑, 그리고 이별 후의 일상.","드라마,완결드라마",1282
우투리,9.76,이재헌,임재원,2021,스토리,판타지,전체연령가,"유성이 떨어졌다. 일곱 명의 날개 달린 아이가 태어났으며, 이 영웅들 중 하나가 이 나라의 왕이 될 것이다.그리고 단 한 명, 날개를 뜯기지 않은 아이가 있었다.","판타지,완결판타지",1283
한스와 에밀리,9.9,김지효,김지효,2020,에피소드,드라마,전체연령가,그림을 너무 사랑하는 바른 청년 ‘한스’. 군대 제대 이후 엄마의 시장 일을 돕다가 더 큰 세계에서 미술을 공부하기 위해 샌프란시스코에서의 유학생활을 시작한다. 새 학교에서 처음 사귄 친구 ‘상은’을 위한 선물을 사기 위해 한 작은 수족관에 들어가게 되고 이 곳에서 금붕어의 저주에 걸린 플라워 왕국의 공주 ‘에밀리’를 우연히 사게 되면서 둘의 인연이 시작되는데…,"드라마,완결드라마",1284
이웃집의 훈훈한 스토커군,5.12,teamGOGI+,teamGOGI+,2020,스토리,로맨스,15세 이용가,친절한 매너와 훈훈한 얼굴로 학교 내 최고의 인기남 진범.그가 사실은 스토커라고?!이웃집에 미워할 수 없는 훈남 스토커가 산다!,"로맨스,완결로맨스",1285
들개,9.66,홍원찬,최감자,2022,스토리,액션,15세 이용가,"소중한 사람을 살인 사건으로 잃게 된 형사 광렬.경찰을 그만두고 무의미한 하루를 살아간다.어느 날, 갑자기 찾아온 제보자로 인해 알게 된 살인 사건의 진상 잔혹한 사건의 진상과 광기어린 용의자들! 사냥감을 포착한 들개가 된 광렬의 처절한 복수가 시작된다.","액션,완결액션",1286
오컬트,9.28,신진우,최봉근,2020,스토리,판타지,전체연령가,"'준혁'은 미지의 힘을 가진 락샤사의 목걸이를 우연히 손에 넣게 되고, 그로 인해 괴인 '마일'의 표적이 된다. 생명의 위협을 느끼며 쫓기던 준혁은 '오컬트'라는 정체불명의 회사의 도움을 받게 되는데... 기괴한 것들과 이능력자들의 대결이 시작된다.","판타지,완결판타지",1287
용련,9.7,실,실,2021,스토리,로맨스,전체연령가,"물의 나라 수오국은 용족이 다스리는 다섯 지역이 모인 연맹국.왕족은 여의 보주, 용련을 반려로 맞아 용왕이 되며 이 혼인식을 용련제라 한다.어느 날, 용련제 도중 하늘에서 사람이 떨어진다.그 사람은 바로 '문희'.원래 용련이여야만 했던 ‘백사홍’ 대신 그녀가 진짜 용련으로 추대된다.평범한 회사원이었던 문희는 졸지에 수오국의 용련이 되면서 용이라 불리는 '류완'과 결혼해야 하는 처지에 놓이는데...","로맨스,완결로맨스",1288
무의식의 숲,9.95,루시드,루시드,2021,스토리,드라마,전체연령가,"모든 이들의 꿈이 연결된 세계 ‘무의식의 숲’, 악몽을 만드는 남자와 악몽 속에 빠진 사람들을 탈출 시키려는 남자. 이것은 두 남자의 이야기이며 당신이 잠든 사이 벌어지는 당신의 이야기다.","드라마,완결드라마",1289
트리니티 원더,9.82,전극진,박진환,2021,스토리,판타지,전체연령가,무협세계 최강 고수와 판타지 세계 천재 마법사가 만난다면? 브레이커 두 작가의 신작!,"판타지,완결판타지",1290
피차일반,9.89,심지예,심지예,2022,스토리,로맨스,전체연령가,"어설프지만 사랑스러운 패션잡지 신입 에디터 '하미로','피'가 '차'야(모여야) '일반'인이 될 수 있는 모기 인간 '모기남'을 만나다.삼류 패션 잡지 회사의 신입 에디터 '하미로'어느 날 떠오르는 신예 모델 '이지현'의 매니저라는 사람의 메일을 받게 된다.들뜬 마음으로 통화를 하고 계약금을 보내버린 그녀…결국 잡지 화보 촬영 당일이 되어서야 그 모든 게 사기였음을 알게 된다.촬영도 펑크나고 계약금도 날려버리는 바람에 사회적 시한부가 되어 계단에서 울고 있던 미로는심란한 와중에 눈치 없이 귓가에서 앵앵거리는 모기를 잡으려고 공중에서 박수를 치는데…손에 잡힌 것은 모기가 아니라 웬 미남의 얼굴이었다!이 모든 상황을 해결해줄 미남 '모기남'의 등장에 덜컥 그의 손을 잡아버린 미로.자신도 모르는 사이 그와 '매혈 계약'을 해버리고 마는데…","로맨스,완결로맨스",1291
착하게 살자 시즌1~2,9.69,"사열,오기수",예랑,2021,스토리,액션,전체연령가,"오중석, 나이 41세, 직업은 조폭!온갖 나쁜 짓은 다 하며 수십년 몸 바친 결과 조직 최고의 자리에 오르지만, 부하에게 칼을 맞아 죽는 처참한 최후를 맞는다. '이렇게 죽게 될 줄 알았으면, 좀 착하게 살 걸!'인간답지 않았던 지난 생을 후회하던 그때, 천사가 나타나 그를 1995년 18살 고딩시절로 되돌린다. 이제부터 하나씩, 중석의 '착하게 살자' 프로젝트가 시작된다!","액션,완결액션",1292
라면 대통령,9.74,명랑,신얼,2022,스토리,드라마,전체연령가,"연애 5주년, 특별한 기념일에 라면을 끓여줬다가 보기 좋게 차인 ‘구공탄’.할 줄 아는 건 라면 끓이는 게 전부였던 백수 공탄은 전 여친 ‘묵은지’가 기획한 ‘라면 대통령’ 서바이벌 오디션에 도전한다. 라면을 통해 진정한 사랑을 찾아가는 네 남녀의 연애 레시피.","드라마,완결드라마",1293
토니와 함께,9.93,정성완,정성완,2020,에피소드,드라마,전체연령가,"전염병으로 황폐해지고 있는 세상. 인생이 원하는 대로 풀리지 않아 부모님 댁으로 도피했던 내가 홀로 살아 남았다. 막연한 목표로 자취방을 향해 걷던 어느 날, 강아지 토니를 발견하게 되는데... 그렇게 낯선 존재인 토니와 함께 여정을 떠난다.","드라마,완결드라마",1294
세상과 하늘 사이,9.4,우기리,우기리,2020,에피소드,로맨스,전체연령가,한류스타가 내 남편이 됐다?!현재 잘나가는 한류스타인 ‘이세상’은 암 진단을 받은 상태. 사실 5살 짜리 딸 하늘이가 있는 미혼부인 그는 불안해한다.그는 보육교사 라경에게 고액을 제시하며 계약결혼을 제안하는데…?!,"로맨스,완결로맨스",1295
W : 너와 나의 세계,9.76,주니버스,이채,2022,스토리,로맨스,전체연령가,"만화가인 아빠의 작품 중에서 강철이 최애캐인 연주는 평범한 일상을 보내던 어느 날 생일파티를 하게 되었다. 그런데 잠깐 잠이 든 사이에 이상한 곳에서 눈을 뜨게 되고 눈앞에는 만화 속에만 보던 캐릭터 주인공, 강철이 서있었다. 정신 차려보니 이곳은 현실이 아닌 만화 속 세계랑 너무 똑같았다.","로맨스,완결로맨스",1296
리안소울의 엑소클럽,9.79,신진오,박희정,2021,스토리,판타지,전체연령가,'녹안'을 가진 신비한 소녀 소울과 천재 사이코패스 리안. 미스테리한 '저주계' 사건을 해결하기 위해 의기투합하다.,"판타지,완결판타지",1297
꼬드보,9.17,뚜부,뚜부,2022,스토리,로맨스,12세 이용가,"5년 사귄 여자친구가 이별을 고하고 프랑스로 떠나버렸다!불어는 1도 모른 채 전여친을 쫒아 무작정 프랑스로 향한 기운찬, 그곳에서 소매치기 당하는 여자 '김남주'를 구해내지만, 그녀의 남자친구가 다른 여자와 키스하는 것을 같이 보고 말았다.우여곡절 끝에 숙소에 도착한 기운찬은 또 괴한으로 오해받아 룸메들에게 발길질을 맞는데... 아무 준비 없이 시작한 프랑스의 삶은 순탄치 않다!!!","로맨스,완결로맨스",1298
이세계 세입자들,9.74,kiki,이음,2021,스토리,로맨스,전체연령가,"구두 제작 회사 '킬 빌'의 디자이너 해서는 승진을 위해 강 팀장이 다닌다는 요양원 봉사활동에 참여하게 된다.봉사 활동 당일, 해서는 깊은 산속을 헤매다가 지나치게 화려한 요양원에 들어선다.까탈스러운 할아버지들의 요구에도 굴하지 않고 봉사 활동을 이어가던 중해서는 자신의 손자들을 소개해 주겠다는 한 할아버지의 말을 가볍게 흘려듣고는 집으로 돌아온 게 되는데…그날 이후 해서 앞에 쉴 틈 없이 화려한 남자들이 계속해서 나타나기 시작한다.이 세계를 구하기 위해 찾아온 황자들과 그저 평범하게 살고 싶은 해서의 동거가 시작된다!","로맨스,완결로맨스",1299
나의 스마트보이,9.23,긴유,긴유,2021,스토리,로맨스,전체연령가,"""내 스마트폰이 사람으로 변해버렸다?"" 대학교 새내기인 나리가 돌연 사람으로 변해버린 자신의 스마트폰, 우주를 만나며 겪게 되는 좌충우돌 캠퍼스 로맨스.","로맨스,완결로맨스",1300
롭플롭,9.97,CTK,CTK,2021,스토리,드라마,전체연령가,"어느 날 지하철에서 특이한 사람을 발견한 펠릭스는 2년만에 다시 붓을 들게 되고, 그의 룸메이트인 해리는 그런 그를 관찰하기 시작한다. 해리의 극단적 행동은 모른 채, 펠릭스는 모든 일이 잘 풀려가는 것 같은데…","드라마,완결드라마",1301
38의 살인,9.85,이승준,이승준,2022,스토리,스릴러,전체연령가,살인범을 죽이는 살인범 이사라와 범죄자를 증오하는 형사 차도형.30년전 도형의 부모를 살해한 진범에 대한 진실을 알게 된 이사라는 일부러 도형을 자극하며 그를 관찰하는데...,"스릴러,완결스릴러",1302
배틀트레인,8.83,양봉주식회사,홍아랑,2022,스토리,판타지,전체연령가,"도망갈 곳 없는 지하철 '배틀트레인' 에서 벌어지는 처절한 핏빛 토너먼트!AI가 발전한 가까운 미래, 세계는 ‘배틀트레인’이라는 새로운 개념의 격투 스포츠에 열광한다.결승전 당일 챔피언 호를 보려고 대기하던 유선은 얘기치 못한 사고로 호의.. 몸에 들어가게 되는데..","격투기,판타지,완결판타지",1303
물고기가 보이는 남자,9.96,차세기,차세기,2020,스토리,드라마,12세 이용가,사람들의 머리 위 물고기를 볼 수 있는 특이한 능력을 가진 남자 “한아리”. 물고기의 비밀을 파헤쳐 가며 벌어지는 놀라운 일들과 그 속에서의 인생 이야기.,"드라마,완결드라마",1304
늑대가 되는 법,9.89,김민희,김민희,2021,스토리,드라마,전체연령가,엄마의 재혼을 창의적으로 반대하다 깡촌의 대안학교로 쫓겨난 사고뭉치 금수저 김순한. 알고 보니 대안 학교 '두손고'의 친구들은 모두 늑대인간?!,"드라마,완결드라마",1305
살의,9.7,길연,길연,2020,스토리,스릴러,15세 이용가,"2016년, 타인의 '살의'를 조종하여 살인을 저지르게 만드는 미치광이 '살인설계자'에 대한 소문이 무성하다. 급기야 경찰에서는 '살인설계자 전담반'까지 만들어 그를 쫒는 도중, 그의 본 모습을 목격했을 것으로 추정되는 서은영을 찾아 나서는데...","스릴러,완결스릴러",1306
바스키,9.58,진철수,변기현,2022,스토리,드라마,전체연령가,초능력자들이 벌인 300억짜리 은행강도 사건. 이 사건으로 인해 한순간에 자신과 가족의 삶이 뒤틀려버린 한 남자의 사투가 시작된다.,"드라마,완결드라마",1307
영월동 534번지,9.82,임성훈,정보근,2020,에피소드,드라마,전체연령가," 어린 시절 기억을 잃은 채 미국으로 입양된 여리원은 자신에게 화재와 관련된 트라우마가 있다는 것을 알게 되고, 이를 치료할 과거의 사실을 확인하기 위해 한국을 찾는다.  그러나 여리원이 기억을 잃은 계기가 된 과거의 화재 사건과 밀접한 관계를 가진 새봄재단이사장 박정덕은, 마침 코앞으로 다가온 국회의원 선거를 앞두고 그녀의 방문을 탐탁치않게 여긴다.  과거를 찾아나선 여리원은 자신과 과거와 연관된 여러 사람을 만나가는 과정 속에서 많은 사람들이 화재사건과 자신의 어머니에 대한 것을 숨기려 하고 있음을 눈치 채기 시작한다…!","드라마,완결드라마",1308
"꿀잠, 재워주세요!",9.41,진하,김윤지,2021,스토리,로맨스,전체연령가,"""자... 자고 싶어요!""완벽한 워라밸을 유지하던 재영의 일상은 심각한 불면증으로 산산조각 났다.야근 중에 쪽잠을 자던 어느날, 우연히 듣게 된 선우의 목소리는 재영을 달콤한 꿀잠으로 인도하고…회사에서 다시 마주친 선우에게 다짜고짜 자신을 좀 재워달라고 말하는 재영!그런데 선우가 취임식에서 도망쳤다던 회사 대표님이라고?!꿀잠 라이프를 위해 선우의 목소리가 필요한 재영과 대표직 사수를 위해 목소리 콤플렉스를 극복해야 하는 선우의 로맨틱 코미디","로맨스,완결로맨스",1309
비밀상자,9.85,레이카,레이카,2021,스토리,드라마,전체연령가,엄마가 돌아가신후 엄마에 대해 알아가기 시작한 도시처녀 진이와 재개발마을을 지키려는 순박한 청년 재원. 그리고 유산을 노리는 인물들의 휴먼드라마.,"드라마,완결드라마",1310
차라리 만나지 않았더라면,9.61,Mlizard,Mlizard,2020,스토리,스릴러,전체연령가,"새로 부임한 잘생긴 부교수 남상현은 같은 대학교 학생 김유리와 사랑에 빠진다.운명인 줄 알았던 그녀를 만난 후 계속 뜻밖의 사고에 휘말리게 되고, 그의 인생은 점점 알 수 없는 방향으로 흘러가는데…","스릴러,완결스릴러",1311
뚝배기 깨러 왔습니다,8.59,임성훈,임성훈,2020,스토리,액션,15세 이용가,비리를 척결하고자 했던 강백현은 내부고발자로 찍혀 한직으로 좌천된다.크게 절망한 주인공 앞에 뺑소니 사고를 당했던 5급 공무원 최용규의 유령이 나타나는데….,"액션,완결액션",1312
환생소녀,9.83,이지훈,한아름,2020,스토리,판타지,전체연령가,"은진이와 윤재는 어릴 때부터 한동네에서 자란 친구 사이로 매번 티격태격하지만, 어느 순간부터 서로에게 친구 이상의 감정을 느끼게 된다.  친구와 연인사이에서 갈등하다 더 이상 피하지 않고 자신의 마음을 전하기로 마음먹은 그날, 은진이네 가족에게 예상치 못한 사고가 일어나고, 놀랍게도 은진이는 전생의 기억을 고스란히 가지고 박다미라는 새로운 생명으로 탄생한다. 이후 전생의 기억과 인간관계, 현생의 일상과 인간관계 사이에 금이 가지 않도록 그녀만의 비밀스러운 생활이 시작되는데...","판타지,완결판타지",1313
"안녕, 나는 너를 좋아해",9.8,하토,하토,2020,스토리,감성,전체연령가,특별해지고 싶은 평범한 10대들의 이야기,"감성,완결감성",1314
라라파루자,9.64,유티스트,유티스트,2020,스토리,액션,12세 이용가,"남양주를 제패한 남고생, 싸움꾼 ‘홍민재’. 곳곳을 돌아다니며 싸움을 걸고 다니는 그를 사람들은 하얀 머리를 가진 표범-‘설표’라 부른다.길거리 싸움은 폭력일 뿐! 진정한 싸움은 무대에서 펼쳐진다!천상천하 유아독존 싸움꾼 소년의 도전이 시작된다!","액션,완결액션",1315
이별의 품격,9.8,해마,억수씨,2020,스토리,드라마,전체연령가,"만남은 이별과 늘 함께 있다.멋진 만남이 중요하다면 좋은 이별 또한 소중하다.세상에는 멋진 만남을 말하는 사람들뿐, 좋은 이별을 말해주는 사람은 없다.여기, 멋진 이별을 준비하는 사람들을 위한 곳이 있습니다. <이별의 품격>의 문을 열고 들어오세요.","드라마,완결드라마",1316
용돈이 계속 늘어!,8.3,쾌벌,신혜,2022,스토리,드라마,전체연령가,누가 나한테 자꾸 용돈을 준다.  돈이 최고야! 늘 새로워! 짜릿해! 앞으로 내 인생 탕진잼만 누리며 살면 되는 거야? 백수 표본 김여유의 플렉스 이야기(?).,"드라마,완결드라마",1317
소장,9.63,소영,소영,2022,옴니버스,일상,전체연령가,"누구나 주변 사람들에게 완전히 이해받지 못할 자기만의 소장용 세계가 있다.이 쓸모없는 행위가 왜 필요한지, 왜 계속되어야 하는지, 그리고 어떤 세상은 이 쓸모없음으로 비로소 생존하고 있음을 말하는 이야기!","일상,완결일상",1318
